game	inning	pitcher	hitter	hit	type	x	y
1	Top	Jose Quintana	A.J. Pollock	O	Flyout	117.47	74.3
1	Top	Jose Quintana	Martin Prado	H	Single	87.35	113.45
1	Bottom	Wade Miley	Gordon Beckham	O	Groundout	106.43	157.63
1	Bottom	Wade Miley	Marcus Semien	O	Flyout	164.66	116.47
2	Top	Jose Quintana	Aaron Hill	O	Flyout	125.5	87.35
2	Top	Jose Quintana	Cody Ross	H	Single	78.31	103.41
2	Top	Jose Quintana	Gerardo Parra	O	Groundout	146.59	160.64
2	Top	Jose Quintana	Alfredo Marte	O	Groundout	141.57	157.63
2	Bottom	Wade Miley	Alexei Ramirez	O	Flyout	182.73	92.37
2	Bottom	Wade Miley	Paul Konerko	O	Flyout	128.51	54.22
3	Top	Jose Quintana	Chris Owings	O	Groundout	116.47	177.71
3	Top	Jose Quintana	A.J. Pollock	O	Lineout	109.44	158.63
3	Top	Jose Quintana	Martin Prado	O	Lineout	122.49	85.34
3	Bottom	Wade Miley	Tyler Flowers	O	Flyout	176.71	88.35
3	Bottom	Wade Miley	Alejandro De Aza	O	Groundout	140.56	156.63
4	Top	Jose Quintana	Paul Goldschmidt	O	Groundout	103.41	162.65
4	Top	Jose Quintana	Miguel Montero	O	Flyout	129.52	89.36
4	Bottom	Wade Miley	Gordon Beckham	H	Single	83.33	111.45
4	Bottom	Wade Miley	Marcus Semien	O	Groundout	111.45	156.63
5	Top	Jose Quintana	Cody Ross	H	Single	120.48	96.39
5	Top	Jose Quintana	Gerardo Parra	O	Groundout	108.43	181.73
5	Top	Jose Quintana	Alfredo Marte	H	Double	58.23	117.47
5	Top	Jose Quintana	Chris Owings	H	Double	90.36	90.36
5	Top	Jose Quintana	A.J. Pollock	H	Single	134.54	103.41
5	Top	Jose Quintana	Martin Prado	O	Flyout	132.53	84.34
5	Bottom	Wade Miley	Dayan Viciedo	H	Single	89.36	111.45
5	Bottom	Wade Miley	Alexei Ramirez	O	Pop Out	161.65	181.73
5	Bottom	Wade Miley	Paul Konerko	H	Home Run	29.12	55.22
5	Bottom	Wade Miley	Moises Sierra	O	Groundout	106.43	164.66
6	Top	Jose Quintana	Aaron Hill	O	Flyout	119.48	92.37
6	Top	Jose Quintana	Cody Ross	H	Single	82.33	108.43
6	Top	Jose Quintana	Gerardo Parra	O	Pop Out	134.54	148.59
6	Bottom	Wade Miley	Alejandro De Aza	O	Bunt Pop Out	130.52	175.7
6	Bottom	Wade Miley	Gordon Beckham	O	Lineout	119.48	53.21
6	Bottom	Wade Miley	Marcus Semien	H	Single	70.28	117.47
6	Bottom	Wade Miley	Jose Abreu	O	Groundout	111.45	157.63
7	Top	Zach Putnam	Chris Owings	H	Double	99.4	37.15
7	Top	Zach Putnam	Martin Prado	H	Single	151.61	120.48
7	Top	Zach Putnam	Miguel Montero	H	Single	161.65	92.37
7	Top	Zach Putnam	Aaron Hill	O	Groundout	106.43	158.63
7	Bottom	Wade Miley	Dayan Viciedo	O	Lineout	107.43	154.62
7	Bottom	Wade Miley	Paul Konerko	O	Pop Out	85.34	144.58
8	Top	Daniel Webb	Cody Ross	O	Flyout	125.5	83.33
8	Top	Daniel Webb	Gerardo Parra	H	Single	122.49	96.39
8	Top	Daniel Webb	Eric Chavez	O	Groundout	146.59	162.65
8	Bottom	Brad Ziegler	Tyler Flowers	H	Double	195.78	122.49
8	Bottom	Brad Ziegler	Tyler Flowers	E	Fan interference	195.78	122.49
8	Bottom	Brad Ziegler	Alejandro De Aza	O	Groundout	103.41	158.63
8	Bottom	Brad Ziegler	Gordon Beckham	O	Groundout	105.42	159.64
9	Top	Daniel Webb	Chris Owings	O	Flyout	127.51	68.27
9	Top	Daniel Webb	A.J. Pollock	H	Triple	198.8	80.32
9	Top	Daniel Webb	Martin Prado	O	Groundout	128.51	180.72
9	Top	Daniel Webb	Paul Goldschmidt	O	Groundout	104.42	157.63
9	Bottom	Addison Reed	Conor Gillaspie	H	Single	142.57	102.41
9	Bottom	Addison Reed	Alexei Ramirez	H	Single	124.5	93.37
9	Bottom	Addison Reed	Paul Konerko	O	Groundout	134.54	153.61
1	Top	Ervin Santana	Emilio Bonifacio	H	Single	176.71	115.46
1	Top	Ervin Santana	Ryan Kalish	O	Groundout	135.54	157.63
1	Top	Ervin Santana	Anthony Rizzo	O	Groundout	139.56	144.58
1	Bottom	Jeff Samardzija	Jason Heyward	O	Pop Out	109.44	160.64
1	Bottom	Jeff Samardzija	Freddie Freeman	O	Flyout	181.73	51.2
2	Top	Ervin Santana	Starlin Castro	H	Double	60.24	62.25
2	Top	Ervin Santana	Luis Valbuena	O	Groundout	140.56	156.63
2	Top	Ervin Santana	Welington Castillo	O	Flyout	176.71	126.51
2	Top	Ervin Santana	Mike Olt	O	Groundout	128.51	189.76
2	Bottom	Jeff Samardzija	Evan Gattis	O	Flyout	57.23	68.27
2	Bottom	Jeff Samardzija	Chris Johnson	H	Single	162.65	106.43
2	Bottom	Jeff Samardzija	Andrelton Simmons	O	Pop Out	135.54	159.64
3	Top	Ervin Santana	Junior Lake	O	Flyout	140.56	69.28
3	Top	Ervin Santana	Emilio Bonifacio	O	Groundout	141.57	173.69
3	Bottom	Jeff Samardzija	Tyler Pastornicky	O	Groundout	117.47	183.73
3	Bottom	Jeff Samardzija	Jason Heyward	O	Groundout	147.59	163.65
4	Top	Ervin Santana	Ryan Kalish	H	Single	86.35	109.44
4	Top	Ervin Santana	Anthony Rizzo	H	Single	150.6	96.39
4	Top	Ervin Santana	Starlin Castro	O	Flyout	155.62	91.37
4	Bottom	Jeff Samardzija	Justin Upton	H	Single	129.52	89.36
4	Bottom	Jeff Samardzija	Evan Gattis	O	Pop Out	119.48	190.76
5	Bottom	Jeff Samardzija	Ervin Santana	O	Groundout	139.56	155.62
6	Top	Ervin Santana	Emilio Bonifacio	O	Lineout	146.59	171.69
6	Top	Ervin Santana	Ryan Kalish	H	Single	126.51	149.6
6	Top	Ervin Santana	Anthony Rizzo	O	Groundout	110.44	159.64
6	Bottom	Jeff Samardzija	Tyler Pastornicky	O	Groundout	112.45	177.71
6	Bottom	Jeff Samardzija	Freddie Freeman	O	Flyout	86.35	90.36
6	Bottom	Jeff Samardzija	Evan Gattis	O	Lineout	66.27	62.25
7	Top	Ervin Santana	Starlin Castro	O	Groundout	109.44	169.68
7	Bottom	Brian Schlitter	Chris Johnson	H	Single	135.54	113.45
7	Bottom	Brian Schlitter	B.J. Upton	O	Bunt Groundout	125.5	193.78
7	Bottom	Brian Schlitter	Andrelton Simmons	H	Single	73.29	108.43
7	Bottom	Brian Schlitter	Ryan Doumit	H	Double	36.14	82.33
7	Bottom	Brian Schlitter	Tyler Pastornicky	O	Bunt Groundout	123.49	194.78
7	Bottom	James Russell	Jason Heyward	O	Pop Out	148.59	143.57
8	Top	David Carpenter	Junior Lake	H	Single	210.84	121.49
8	Bottom	Justin Grimm	Jordan Schafer	O	Flyout	132.53	99.4
8	Bottom	Justin Grimm	Freddie Freeman	O	Pop Out	98.39	149.6
